Gene ID	normal_1656639	neoplasm_1656641	normal_1656634	normal_1656636	normal_1656635	neoplasm_1656647	neoplasm_1656645	normal_1656638	normal_1656637	neoplasm_1656646	neoplasm_1656642	neoplasm_1656644	neoplasm_1656643	normal_1656640
ENSG00000010539	218	201	189	159	143	95	100	125	291	167	60	109	180	128
ENSG00000010610	2421	1092	6589	3638	4195	554	449	2407	2141	893	662	431	274	5089
ENSG00000010626	49	93	116	41	47	98	84	44	124	126	210	147	359	54
ENSG00000010671	196	160	218	181	212	51	108	136	275	94	123	80	35	197
ENSG00000010704	474	81	624	468	324	425	342	297	328	264	480	331	327	555
ENSG00000010803	858	846	773	655	944	691	834	849	1712	795	824	407	1087	621
ENSG00000010810	1099	641	1366	950	753	239	362	951	1237	484	219	399	265	1383
ENSG00000010818	1519	675	901	1279	1549	559	655	899	1197	906	474	461	593	713
ENSG00000010932	3	358	28	11	2	1118	45	4	36	84	183	14	97	54
ENSG00000011007	1369	454	1978	1102	1016	395	468	1102	1507	471	321	495	456	1318
ENSG00000011009	1662	458	1349	1220	1177	712	870	1322	2305	676	702	963	946	1246
ENSG00000011021	988	645	1396	976	1539	383	479	1494	1950	575	492	527	527	1070
ENSG00000011028	551	2691	732	543	954	516	637	308	1371	2388	1106	1966	1072	642
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	5	2	1	4	1	1	0	15	27	5	15	8	4
ENSG00000011105	2708	1116	2973	3213	2707	915	373	2737	2999	1229	576	744	897	4051
ENSG00000011114	634	764	825	688	551	598	455	586	1082	842	279	377	1909	662
ENSG00000011132	467	351	506	457	394	660	387	394	750	352	424	408	514	708
ENSG00000011143	230	176	336	197	167	349	188	224	351	164	264	249	364	346
ENSG00000011198	1065	194	1414	2001	761	246	170	587	1274	211	177	394	201	544
ENSG00000011201	37	244	83	50	71	42	68	9	31	225	66	96	233	22
ENSG00000011243	1224	992	1276	1256	1166	1260	1345	1089	2920	1121	1160	2411	1519	1271
ENSG00000011258	531	808	985	954	584	587	820	760	911	727	715	460	793	894
ENSG00000011260	558	360	558	444	519	421	491	390	426	394	415	300	407	375
ENSG00000011275	804	753	995	884	926	465	1116	731	1575	816	1090	791	1142	881
ENSG00000011295	1530	1502	1942	2347	1253	936	919	1834	3190	1224	1434	777	1528	1216
ENSG00000011304	7911	4711	7019	6160	6128	6246	4809	4838	13872	4686	3080	3986	5918	4981
ENSG00000011332	0	1	0	3	0	2	2	1	19	4	11	10	2	0
ENSG00000011347	5044	377	2848	4667	2085	91	51	1447	5624	113	9	134	97	2140
ENSG00000011376	647	165	624	580	344	420	223	489	530	195	159	158	217	683
ENSG00000011405	1547	1381	2445	2046	1978	868	1656	1699	2243	1683	814	929	1891	1303
ENSG00000011422	335	409	249	738	559	141	236	521	1166	353	497	1525	327	90
ENSG00000011426	30	227	128	27	29	68	652	24	14	84	180	329	358	14
ENSG00000011451	1257	1464	1142	1189	813	1517	1636	963	2230	1568	929	978	1510	1330
ENSG00000011454	865	1316	1108	965	846	703	655	686	990	993	426	776	1114	959
ENSG00000011465	9182	13080	15544	8694	14538	4224	1612	6736	5775	17995	2245	2771	4145	6979
ENSG00000011478	210	144	181	212	161	195	149	141	474	125	186	166	129	302
ENSG00000011485	1191	1032	1293	1252	1019	2221	1112	1135	1112	1261	1146	1051	1832	1353
ENSG00000011523	181	546	358	282	229	589	334	243	471	652	437	253	496	370
ENSG00000011566	513	1331	934	863	642	2188	1089	584	887	1502	1804	439	3394	685
ENSG00000011590	15	18	11	18	7	23	14	12	6	11	40	16	24	27
ENSG00000011600	1333	543	979	1150	1363	390	545	730	1418	460	597	460	190	1383
ENSG00000011638	32	166	55	29	38	146	272	35	40	409	514	360	397	48
ENSG00000011677	0	0	0	0	0	0	0	0	0	0	81	0	0	0
ENSG00000012048	49	242	160	74	45	85	275	52	146	171	233	255	299	92
ENSG00000012061	851	577	749	660	672	577	681	727	985	661	625	512	559	731
ENSG00000012124	68	152	107	28	100	201	232	20	128	172	427	198	188	201
ENSG00000012171	391	427	282	310	370	657	507	287	795	517	1265	3481	740	633
ENSG00000012174	625	877	1104	968	604	397	416	478	444	1066	572	374	719	712
ENSG00000012211	203	172	251	168	252	255	204	166	369	263	170	176	156	237
ENSG00000012223	26	9	9	311	51	35	3	16	28	89	7	23	11	68
ENSG00000012232	659	851	442	411	414	772	664	555	494	1046	830	454	546	637
ENSG00000012504	2258	90	3950	4247	2506	307	161	3024	2738	123	753	258	465	2242
ENSG00000012660	2783	910	2700	3383	2231	964	612	2629	2053	1763	1501	487	2521	2180
ENSG00000012779	213	397	310	498	322	730	1639	140	421	449	3618	3248	776	434
ENSG00000012817	2717	0	0	2245	2635	0	1	3	5987	1640	362	952	253	0
ENSG00000012822	2667	2320	3357	2461	2255	2710	1938	2533	4097	1953	2766	3454	1716	3301
ENSG00000012963	520	381	651	573	423	259	279	424	652	262	226	360	502	440
