	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P08571	26434	27091	55720	39320	36472	31458	51000	48955	37765
Q86VB7	54960	52395	54210	61130	27920	59210	74280	74610	61090
Q9HCU0	9255	6150	11950	13340	9677	11670	18160	12720	10350
P16070	94355	107700	202400	116820	96070	69070	131200	82250	149900
P08174	22582	28700	37908	40085	24582	24585	47455	38235	53108
P13987	60990	114950	176250	104300	72660	81145	129150	155850	136750
O43866	2398	3170	3654	3092	1998	2228	2508	4409	3395
P12830	8431	6264	10140	10540	10380	9568	15930	12300	10880
P55290	27250	33605	38882	41602	36198	39672	49592	53755	43410
P33151	29065	41532	73742	54090	50855	47825	71922	67710	59625
Q8WUJ3	35045	29020	16435	45150	30495	48540	45790	30495	36430
P11597	3419	2344	2602	4233	9058	2491	7020	9896	3373
P00751	90620	74922	114742	102500	70938	74000	112900	78955	137900
P00746	22955	36810	46440	25245	19860	23892	26740	31970	31880
P08603	23522	32418	62610	78630	42802	47955	83770	69540	69620
Q03591	34718	82748	166920	253540	55585	65070	136785	61112	175420
P36980	38255	116990	265850	220025	99585	87175	44510	118600	54928
Q02985	64165	73480	140000	315000	90735	78345	168400	125050	122650
P05156	47410	49880	68685	77352	42060	39320	66470	52355	73590
P23528	126460	60790	78122	78505	51005	51685	94048	76825	77842
P27918	58500	68860	113000	115600	48220	60750	94320	107600	95130
O15335	4495	4806	6144	26620	11080	11370	14800	12560	8557
P36222	33265	54150	58375	226825	68545	116388	129400	67790	67102
Q15782	55640	57350	62110	268450	172200	209400	130600	259250	87520
O00533	15956	15009	30890	34885	26130	35345	38725	35890	30160
O75339	20130	29900	16940	46150	39810	41370	28135	31925	39920
Q8IUL8	13703	24835	14904	55445	19302	51820	18600	28479	32105
P06732	13422	7706	17015	22488	104212	9928	21750	17292	17665
Q9UQC9	49300	117600	151600	131500	79520	72240	51710	74410	149000
P05452	61355	66690	101305	59668	47895	38500	96600	87400	86720
O94985	3176	1917	2616	2768	3936	2222	4383	5230	3853
P10909	53755	70215	77545	85108	91520	62878	90032	109442	89600
Q96KN2	54722	43785	54208	83985	81672	41025	108950	93055	101770
P13942	3888	14570	5857	9309	5910	5899	25132	9738	5951
P39059	15860	27170	17020	42790	9962	28830	25380	20900	23370
P39060	28620	46550	88830	102500	46390	59850	81550	98730	94940
P02452	45148	91485	35328	35455	19768	38860	61090	29062	88362
P08123	43355	75390	49405	80162	35655	45660	108340	77260	95335
Q9BXS0	13425	7970	15945	15920	14980	8846	7432	9102	6404
P02458	81620	106300	45260	37020	27130	47160	10420	20070	43980
P02461	60335	136950	80250	58495	37215	40345	50100	50270	103700
P02462	15975	21610	16090	16025	14228	18990	25835	25055	26440
P08572	30518	44965	40760	45012	36688	55608	57490	59738	62472
P20908	6167	7038	9944	15610	8202	7972	21030	20810	16970
P05997	10788	10338	10716	26090	10817	16962	37135	33625	27822
P25940	11090	9713	15730	28200	17760	13800	29830	23850	27030
P12109	10909	17310	13860	20750	14950	19420	31645	20660	24450
P12110	24170	32198	35845	53022	38018	34345	62575	50418	46945
P12111	18160	27460	23405	39060	22280	25635	54720	45100	40598
Q5KU26	37920	43120	44675	42740	27875	35280	37530	33990	49220
P49747	20170	31215	15067	36540	31470	34070	22032	25625	21765
P31146	101730	7550	14730	15820	27640	20760	16035	18745	14760
P00450	26890	17500	36739	44288	33530	23390	62420	32170	36450
Q96IY4	28705	33328	43148	38882	32102	25632	67652	54430	56072
P15169	20835	25430	23182	35585	18648	24538	30735	22355	30782
P22792	58265	56050	111525	166650	93515	71825	124000	96250	103430
P54108	159600	178800	163000	300200	129000	147500	171200	171700	282700
P02741	54000	34310	87770	324600	30995	24300	59485	35450	21545
Q9NQ79	32020	43650	35650	36270	17910	23612	42165	34070	34850
P07333	30965	26110	24170	39660	27885	48465	37620	44005	29585
P01034	35390	50918	71035	43650	35582	34285	47440	48642	57132
Q01459	27280	58970	6860	6254	4253	15850	3490	2504	13275
Q9GZU7	38500	40840	66610	71770	48790	53340	74290	69270	61440
P29279	26830	38905	49545	46805	24045	26685	58105	63020	62925
P07858	79840	61420	68410	164800	122715	108240	126030	123500	76205
P07339	4420	2888	3266	5698	6099	2879	8148	7112	5270
P07711	21620	24310	22620	70340	123300	73250	90980	131500	44980
Q9UBR2	20760	40120	42100	53500	35310	35650	50630	51980	51190
Q14118	23250	23885	34830	25235	19155	18670	34265	32615	31155
P09172	15670	19650	29760	43880	21410	14310	64792	28052	26832
P81605	8750	89840	12410	12310	5281	16080	6721	7084	19110
